trialtype,setsize,time1,click1x,click1y,time2,click2x,click2y,id,platform,posx1,posy1,posxmin1,posxmax1,posymin1,posymax1,posx2,posy2,posxmin2,posxmax2,posymin2,posymax2
tray,12,3.779617071151733,-75,-242,0.5776805877685547,3,-420,1,ios,-99,-243,-174,-24,-318,-168,450,-350,350,550,-425,-275
tray,12,1.971955537796021,-218,-225,2.04373025894165,23,-379,1,ios,-206,-221,-281,-131,-296,-146,450,-350,350,550,-425,-275
tray,12,1.490817308425903,168,-50,1.606436848640442,29,-389,1,ios,202,-60,127,277,-135,15,450,-350,350,550,-425,-275
tray,12,3.053630113601685,85,-127,0.6447730660438538,33,-368,1,ios,75,-90,0,150,-165,-15,450,-350,350,550,-425,-275
tray,12,2.371263742446899,-75,-108,0.8759250044822693,47,-370,1,ios,-63,-100,-138,12,-175,-25,450,-350,350,550,-425,-275
tray,12,2.455350399017334,-192,-95,1.127891182899475,-26,-353,1,ios,-222,-88,-297,-147,-163,-13,450,-350,350,550,-425,-275
tray,12,1.873241901397705,246,39,0.8776110410690308,-27,-369,1,ios,233,53,158,308,-22,128,450,-350,350,550,-425,-275
tray,12,1.05666708946228,78,70,1.374713659286499,-30,-401,1,ios,58,87,-17,133,12,162,450,-350,350,550,-425,-275
tray,12,1.758511781692505,236,-183,1.526865005493164,1,-382,1,ios,241,-200,166,316,-275,-125,450,-350,350,550,-425,-275
tray,12,1.189028263092041,100,-246,0.6265683770179749,53,-385,1,ios,53,-245,-22,128,-320,-170,450,-350,350,550,-425,-275
tray,12,1.889529705047607,-44,-223,1.761151552200317,7,-403,1,ios,-78,-204,-153,-3,-279,-129,450,-350,350,550,-425,-275
tray,12,1.525813579559326,-231,-243,2.143019199371338,-9,-382,1,ios,-244,-240,-319,-169,-315,-165,450,-350,350,550,-425,-275
tray,12,0.956610381603241,214,-74,1.058475136756897,9,-422,1,ios,215,-70,140,290,-145,5,450,-350,350,550,-425,-275
tray,12,1.20840048789978,38,-31,1.792270183563232,-9,-374,1,ios,50,-51,-25,125,-126,24,450,-350,350,550,-425,-275
tray,12,1.171845078468323,-81,-99,1.560194492340088,-18,-339,1,ios,-77,-99,-152,-2,-174,-24,450,-350,350,550,-425,-275
tray,12,2.840125799179077,-201,-81,1.794639110565186,-17,-377,1,ios,-240,-88,-315,-165,-163,-13,450,-350,350,550,-425,-275
tray,12,1.133808016777039,199,60,1.824992418289185,29,-426,1,ios,211,63,136,286,-12,138,450,-350,350,550,-425,-275
tray,12,1.190311670303345,50,62,2.561205863952637,-13,-371,1,ios,70,56,-5,145,-19,131,450,-350,350,550,-425,-275
tray,12,1.10111129283905,-30,95,1.043590188026428,52,-382,1,ios,-57,100,-132,18,25,175,450,-350,350,550,-425,-275
tray,12,1.182374119758606,-180,37,2.14509654045105,-2,-392,1,ios,-210,68,-285,-135,-7,143,450,-350,350,550,-425,-275
tray,12,1.305392622947693,205,224,2.493247509002686,-32,-360,1,ios,202,239,127,277,164,314,450,-350,350,550,-425,-275
tray,12,1.056723117828369,47,217,1.776592493057251,-12,-385,1,ios,93,233,18,168,158,308,450,-350,350,550,-425,-275
tray,12,2.090614318847656,-110,161,2.527268886566162,-10,-400,1,ios,-98,202,-173,-23,127,277,450,-350,350,550,-425,-275
tray,12,2.969589233398438,-201,207,1.392472505569458,39,-383,1,ios,-213,217,-288,-138,142,292,450,-350,350,550,-425,-275
tray,12,1.108875870704651,-88,191,2.343222856521606,40,-367,1,ios,-67,200,-142,8,125,275,450,-350,350,550,-425,-275
tray,12,1.684387445449829,79,180,1.791792392730713,6,-411,1,ios,90,201,15,165,126,276,450,-350,350,550,-425,-275
tray,12,3.00338888168335,172,228,1.461172819137573,-25,-378,1,ios,223,250,148,298,175,325,450,-350,350,550,-425,-275
tray,12,1.523844242095947,-254,89,4.011500835418701,-17,-329,1,ios,-238,88,-313,-163,13,163,450,-350,350,550,-425,-275
tray,12,1.524786949157715,-88,44,1.675642371177673,12,-362,1,ios,-99,51,-174,-24,-24,126,450,-350,350,550,-425,-275
tray,12,0.737777590751648,61,54,2.694198608398438,-20,-361,1,ios,72,91,-3,147,16,166,450,-350,350,550,-425,-275
tray,12,1.157221913337708,186,64,1.293838381767273,-28,-412,1,ios,204,76,129,279,1,151,450,-350,350,550,-425,-275
tray,12,1.117283582687378,-249,-84,1.577061772346497,10,-405,1,ios,-227,-85,-302,-152,-160,-10,450,-350,350,550,-425,-275
tray,12,1.701561808586121,-56,-90,1.160578727722168,8,-401,1,ios,-66,-92,-141,9,-167,-17,450,-350,350,550,-425,-275
dots,12,2.42432427406311,-262,199,1.159837007522583,45,-375,1,ios,-249,225,-324,-174,150,300,450,-350,350,550,-425,-275
dots,12,1.490394830703735,-67,216,1.911410450935364,-17,-380,1,ios,-80,249,-155,-5,174,324,450,-350,350,550,-425,-275
dots,12,3.489866018295288,89,211,0.7086886167526245,-14,-359,1,ios,87,244,12,162,169,319,450,-350,350,550,-425,-275
