numphoneme,phoneme,duration,timef,f0,f0max,f0min,f1,f2,f3,intensity,intensitymax,id,rec,reduction,position,manner,place,voicing,palatalization,stress
3,ʊ,0.082264848539447,0.275677357942074,244.29107754743,246.875854122313,233.3024542653,426.84856502146664,1115.7328043003615,2427.54312465645,62.9612704012867,63.4310225497074,subj2,14-2,first,R,NA,NA,NA,NA,NA
6,i,0.148399334620179,0.679742937532888,182.43024150262,186.009807957076,175.909786421051,227.58762076510027,2651.078911221971,2771.944668947457,58.9632333677665,59.8944913625278,subj2,14-2,no,S,NA,NA,NA,NA,NA
2,e,0.152766190256148,0.358599354306515,214.752039253482,234.097439220378,198.938966262529,444.126472307258,2242.8114887718302,2834.58353504504,60.1506467355723,61.9951610113378,subj2,15-1,no,S,NA,NA,NA,NA,NA
5,ə̝,0.0900229335438016,0.718009096560935,225.971086866106,235.657510153092,224.823797337524,452.828952880876,1699.6155187261,2578.40903220149,61.196431727943,62.2245015854171,subj2,15-1,second,T,NA,NA,NA,NA,NA
2,ɪ,0.0791341578195631,0.275990047733317,230.02162475759,231.252675814045,218.932846415187,449.156780599381,1972.8166948403,2674.24733200725,61.179186277307,61.539659605274,subj2,15-2,first,R,NA,NA,NA,NA,NA
5,e,0.15249811663145,0.650640826160311,181.754774438631,189.082960293586,179.537057131134,171.113003869785,1606.20373946637,2706.75362939635,56.6143147509489,57.6511522034309,subj2,15-2,no,S,NA,NA,NA,NA,NA
1,a,0.103180518167931,0.302482815854496,220.275911837905,226.854571249104,209.636038552051,763.0595665694025,1744.959630516263,3052.8971157779956,60.2486761815647,60.4439586550695,subj2,16-1,no,S,NA,NA,NA,NA,NA
4,ə,0.066620492045436,0.618117708045373,218.568611527685,222.999124728256,211.463502713721,420.52476917716575,1472.7044874277049,2949.119115218741,56.8901706607308,58.9959232779229,subj2,16-1,second,T,NA,NA,NA,NA,NA
1,ɐ,0.10470010233097,0.15248886739533,225.296529837832,231.766242250726,214.718961498424,822.378178174936,1719.86900847862,2633.54521041053,45.7672991945912,51.6193739111238,subj2,16-2,first,I,NA,NA,NA,NA,NA
4,a,0.152925604010689,0.518621952516357,187.154070782028,191.717652064716,183.128972699939,454.111164385653,1522.08780536438,2929.29033649046,58.5025071160893,58.9340568410088,subj2,16-2,no,S,NA,NA,NA,NA,NA
2,i,0.175383004559585,0.324391997316828,227.911847196743,241.727104987743,208.803446929536,321.152792628239,2696.88631971641,3464.71216325336,63.1153975649176,64.9321482545025,subj2,17-1,no,S,NA,NA,NA,NA,NA
4,ə̝,0.0889837981028629,0.542605377726754,228.453994764401,231.419950747776,221.863969242836,437.968303358169,2335.69139293129,2884.66796318711,63.6788419218802,64.3168266042902,subj2,17-1,second,F,NA,NA,NA,NA,NA
2,ɪ,0.11156537572253,0.286436549604058,233.91332362281,237.791180543757,218.987938211272,339.373899739191,2449.38449854646,3338.59997540416,62.1462031976762,62.8792734100641,subj2,17-2,first,R,NA,NA,NA,NA,NA
4,i,0.147238317176129,0.520758812093385,186.596178414435,191.184644202117,181.947130450747,324.951552373102,2693.8025852791,3710.07001958445,60.7597791537359,61.0069208205184,subj2,17-2,no,S,NA,NA,NA,NA,NA
3,o,0.179900129621159,0.461752572830191,219.184890470008,241.773553520653,196.277268594146,446.00962867860306,1051.6841718337776,2497.468362046758,61.2379133751919,64.3743746823269,subj2,18-1,no,S,NA,NA,NA,NA,NA
6,ə̝,0.0721118663038404,0.806371386534859,229.838498748025,230.68474878043,221.000845796988,402.19402494515026,1890.320553171621,2382.165535074026,60.3697094132426,61.0534869438807,subj2,18-1,second,T,NA,NA,NA,NA,NA
3,ɐ,0.127215438217074,0.356138320514926,228.83171556037,234.1888718686,213.403039072711,557.66069292555,2100.62414306249,2787.20710873725,60.5891257477818,62.1486866424582,subj2,18-2,first,R,NA,NA,NA,NA,NA
6,i,0.113979149847667,0.703223215534919,186.964259196028,192.689812793831,183.569780957163,332.925451530978,2805.36634635993,3679.7310870448,60.4889697807227,61.4560093556585,subj2,18-2,no,S,NA,NA,NA,NA,NA
2,e,0.16725078833051,0.391177529362702,221.199573710608,230.953348991153,207.74422337611,432.597958610678,2470.70219651309,3068.09547780523,64.8443631201974,65.5733520802667,subj2,19-1,no,S,NA,NA,NA,NA,NA
4,ə̝,0.103032131207825,0.572189458505217,237.572708534533,242.467027863807,213.880212926013,446.763604351948,1884.50110947175,2815.39883832114,63.516258327455,64.1778184787492,subj2,19-1,second,T,NA,NA,NA,NA,NA
6,əᶷ,0.144668403408247,0.81106874901103,226.089639800283,227.478005777125,218.731468736526,380.104111472104,867.176584765851,2726.74419263543,60.9380059508863,61.2365260732372,subj2,19-1,second,F,NA,NA,NA,NA,NA
2,ə̝,0.0919274788579963,0.268724042903998,217.37003117356,220.065990740485,211.642415756772,429.115502832127,2396.78521522406,3035.4452948516,64.3428783440095,64.8264744611526,subj2,19-2,second,O,NA,NA,NA,NA,NA
4,ɪ,0.109605840176842,0.404342329021427,230.961108026313,232.237225511099,212.428062838668,424.219983752965,1928.4058830622,2552.99560933172,63.67104885214,64.2079220052109,subj2,19-2,first,R,NA,NA,NA,NA,NA
6,u,0.179814189414542,0.722300284741804,181.568740791233,184.773487583881,177.814330401225,645.357011650065,1836.53257867925,2994.7071923574,57.200369741369,59.0182407743984,subj2,19-2,no,S,NA,NA,NA,NA,NA
2,e,0.14223737811023,0.391197819823144,208.633974311386,221.855317023026,204.413229420758,508.707392311703,1951.71563290709,2624.56988457761,61.5086188643663,63.2601377927111,subj2,2-1,no,S,NA,NA,NA,NA,NA
5,ə̝,0.144425645465772,0.816815820476062,209.863965870979,223.657342224406,196.617816708811,441.195838284538,2114.91991522967,2816.54545036708,60.91738894885141,64.0312811631877,subj2,2-1,second,F,NA,NA,NA,NA,NA
2,ɪ,0.0857373368263054,0.243270597780852,217.742892894422,226.099325613577,211.450191482684,427.015037485335,1658.92557425588,2633.62147343615,61.0128951748384,61.791981010947,subj2,2-2,first,R,NA,NA,NA,NA,NA
5,i,0.155120152755107,0.651142437133738,184.858465871884,195.594294370985,181.489928731061,280.454407770215,2591.53334239193,3284.91321402408,58.7953604703826,59.7125895892041,subj2,2-2,no,S,NA,NA,NA,NA,NA
2,o,0.101409752816668,0.291256742901426,222.593094327925,232.817224102692,207.895436792713,469.142026409885,985.256036950349,2542.66234087369,61.4004064583467,62.610632027597,subj2,20-1,no,S,NA,NA,NA,NA,NA
5,ə,0.106142207948113,0.6938534615836,224.242016858442,229.359148701287,223.515581336086,599.199153447513,2197.21969574473,2406.27926171249,59.287372071558,59.4378089241942,subj2,20-1,second,T,NA,NA,NA,NA,NA
6,ə̝,0.144677914018447,0.81926352256688,222.117257341183,226.547981953258,217.225891975494,702.719113032205,1811.46899411335,2820.02283453594,57.14024377943501,59.3906372621495,subj2,20-1,second,F,NA,NA,NA,NA,NA
2,ɐ,0.0504788883823945,0.254261983973405,211.787167564951,216.471162048568,208.827840232333,591.467572166012,1729.26531612002,2798.30115433337,57.3175403331699,57.5461940891309,subj2,20-2,first,R,NA,NA,NA,NA,NA
5,a,0.160071211844172,0.619237630896113,186.801170613301,190.486497870081,185.502835334243,898.381855553411,1743.21475086842,2695.40936348152,58.1671348438829,58.5338330935283,subj2,20-2,no,S,NA,NA,NA,NA,NA
6,ə̝,0.146787293848805,0.772666883742601,182.696629076206,186.115702863531,179.730380967775,377.396421662098,1845.11486956202,2750.63961915221,57.7831355413394,58.4241215275194,subj2,20-2,second,F,NA,NA,NA,NA,NA
2,e,0.178406366535089,0.357983837579052,219.591240340596,234.626763065414,201.58099051306,426.268930275121,2475.84932046112,3358.18188811991,62.9155483099053,63.6653471664208,subj2,21-1,no,S,NA,NA,NA,NA,NA
5,ə̝,0.106655979993803,0.737097366466115,218.252589915424,227.126684703576,203.29096224783,419.860665539551,2356.13697225095,3398.77854694823,61.8901863702669,63.1917768873937,subj2,21-1,second,F,NA,NA,NA,NA,NA
2,ɪ,0.0704525328363358,0.271357347943933,222.77847698393,223.695244461494,215.472205390785,380.011992923416,2540.24033315181,3434.39717635672,59.927680677044,60.9825882647558,subj2,21-2,first,R,NA,NA,NA,NA,NA
5,i,0.170794018997178,0.676637322189319,186.865252160488,191.787536166494,171.615008465687,333.370246230306,2717.23162600013,3444.08081529605,60.5520911616162,61.7847397183579,subj2,21-2,no,S,NA,NA,NA,NA,NA
2,i,0.132638645444883,0.411312900805551,220.752002963961,232.955646242279,207.383266162626,333.141027524309,2669.89736791928,3602.12081393188,60.1958778493815,62.1086220536317,subj2,22-1,no,S,NA,NA,NA,NA,NA
4,ə,0.0974359717723075,0.662760569895377,232.088077898399,234.381166830504,222.403301795193,728.474791424698,1866.73140620763,3330.32381081861,59.7475673942839,59.930995690391,subj2,22-1,second,F,NA,NA,NA,NA,NA
2,ɪ,0.116440590720333,0.330212895987364,229.936498054713,231.896605024639,215.200407742641,427.79846408026,2218.67346505314,2854.91191266386,62.9560928478878,63.4206505806113,subj2,22-2,first,R,NA,NA,NA,NA,NA
4,a,0.173726870646915,0.61166287997448,183.203634843778,184.850166797512,181.655872762147,1545.9353068705,2165.80578998892,3825.28801694596,58.742910114897,59.1073537913681,subj2,22-2,no,S,NA,NA,NA,NA,NA
2,o,0.186805475855907,0.409794678536918,229.63097930672,240.115935277109,209.444369372138,486.978945860499,1103.8429168128,2742.55254786029,61.2686505913629,61.9058760321325,subj2,23-1,no,S,NA,NA,NA,NA,NA
4,ə,0.0822833643651018,0.635517961862805,234.405317811428,235.868055160064,230.66773462781,516.736796593172,1728.73513397189,3000.79739010441,61.0214875922508,61.3232307392107,subj2,23-1,second,T,NA,NA,NA,NA,NA
2,ɐ,0.134831767652975,0.361529621785993,218.891655511449,221.124533979316,210.031413573824,730.878741488074,1572.86250207159,2600.817222279,60.5844774340891,60.875182783325,subj2,23-2,first,R,NA,NA,NA,NA,NA
4,o,0.160071211844172,0.597319166203757,186.264661456916,187.557289370259,180.900832518972,410.487442993015,1047.88511129349,2968.23727388094,58.2813269576087,58.6481372621583,subj2,23-2,no,S,NA,NA,NA,NA,NA
2,o,0.162348842179611,0.34864533129461,223.083678977791,236.131850710658,204.096412370056,465.7541029661246,1004.8133724033733,2703.0994248876605,61.6372922441847,62.4573975503364,subj2,24-1,no,S,NA,NA,NA,NA,NA
4,ə,0.0866777716721652,0.560524328715458,228.504892720591,233.108978814235,221.715516107601,556.7476213059739,1840.1972719672603,2994.4982775569565,59.2131342846528,60.5224268489904,subj2,24-1,second,T,NA,NA,NA,NA,NA
2,ɐ,0.123231973797916,0.351716785105965,223.442498082313,225.436382758488,212.486749799111,696.9760450054283,1604.5994119815907,2701.604737012002,59.9709731484263,60.4724730552608,subj2,24-2,first,R,NA,NA,NA,NA,NA
